track_id,track_name,artist_name,track_popularity,explicit,artist_popularity,artist_followers,album_total_tracks,track_duration_min
3Vo4wInECJQuz9BIBMOu8i,Finesse - Remix; feat. Cardi B,Bruno Mars,75,0,90.0,75492598.0,1,3.62
6VpQdig9pdpTSIFItgkJV5,Never Be the Same,Camila Cabello,58,0,78.0,35576126.0,1,3.78
4PpuH4mxL0rD35mOWaLoKS,Lemon,N.E.R.D,59,1,59.0,935460.0,11,3.66
2DQ1ITjI0YoLFzuADN1ZBW,No Limit,G-Eazy,67,1,74.0,6295376.0,20,4.08
1cS0TgbR263ey9jn0MwD2s,River (feat. Ed Sheeran),Eminem,71,1,88.0,104559284.0,19,3.68
5k38wzpLb15YgncyWdTZE4,Him & I (with Halsey),G-Eazy,80,1,74.0,6294820.0,20,4.48
7uX3gufAoBVqKVoD3dBLLD,&burn (with Vince Staples),Billie Eilish,56,0,90.0,118728633.0,1,2.98
1Hy6lIQbEoCCCulXwjmu3L,The Battle of Crait,John Williams,0,0,71.0,1605820.0,20,6.79
0P6AWOA4LG1XOctzaVu5tt,The Weekend - Funk Wav Remix,SZA,69,0,87.0,33068979.0,1,2.86
3qGHAKgjQruzj6doKkyEb5,Unlock it (Lock It) - feat. Kim Petras and Jay Park,Charli xcx,63,0,82.0,6318755.0,10,3.88
7FlHNJT4TC120CDvFOHzei,Rewrite The Stars,James Arthur,71,0,79.0,20854863.0,24,3.63
